HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Venezuela,Brazil,1975,0,4,4
Peru,Colombia,1975,1,0,1
Peru,Colombia,1975,2,0,2
Colombia,Peru,1975,1,0,1
Peru,Brazil,1975,0,2,2
Brazil,Peru,1975,1,3,4
Uruguay,Colombia,1975,1,0,1
Paraguay,Ecuador,1975,3,1,4
Colombia,Ecuador,1975,2,0,2
Paraguay,Colombia,1975,0,1,1
Ecuador,Colombia,1975,1,3,4
Ecuador,Paraguay,1975,2,2,4
Colombia,Uruguay,1975,3,0,3
Peru,Chile,1975,3,1,4
Colombia,Paraguay,1975,1,0,1
Brazil,Argentina,1975,2,1,3
Argentina,Venezuela,1975,11,0,11
Brazil,Venezuela,1975,6,0,6
Argentina,Brazil,1975,0,1,1
Venezuela,Argentina,1975,1,5,6
Bolivia,Chile,1975,2,1,3
Bolivia,Peru,1975,0,1,1
Peru,Bolivia,1975,3,1,4
Chile,Bolivia,1975,4,0,4
Chile,Peru,1975,1,1,2
Paraguay,Ecuador,1979,2,0,2
Uruguay,Ecuador,1979,2,1,3
Paraguay,Uruguay,1979,0,0,0
Uruguay,Paraguay,1979,2,2,4
Peru,Chile,1979,1,2,3
Brazil,Paraguay,1979,2,2,4
Paraguay,Brazil,1979,2,1,3
Paraguay,Chile,1979,3,0,3
Chile,Paraguay,1979,1,0,1
Paraguay,Chile,1979,0,0,0
Chile,Peru,1979,0,0,0
Ecuador,Uruguay,1979,2,1,3
Chile,Colombia,1979,2,0,2
Argentina,Brazil,1979,2,2,4
Ecuador,Paraguay,1979,1,2,3
Venezuela,Chile,1979,1,1,2
Colombia,Chile,1979,1,0,1
Colombia,Venezuela,1979,4,0,4
Chile,Venezuela,1979,7,0,7
Venezuela,Colombia,1979,0,0,0
Bolivia,Argentina,1979,2,1,3
Bolivia,Brazil,1979,2,1,3
Brazil,Argentina,1979,2,1,3
Argentina,Bolivia,1979,3,0,3
Brazil,Bolivia,1979,2,0,2
Brazil,Uruguay,1983,1,1,2
Uruguay,Brazil,1983,2,0,2
Brazil,Paraguay,1983,0,0,0
Paraguay,Brazil,1983,1,1,2
Uruguay,Peru,1983,1,1,2
Peru,Uruguay,1983,0,1,1
Peru,Bolivia,1983,2,1,3
Colombia,Bolivia,1983,2,2,4
Colombia,Peru,1983,2,2,4
Bolivia,Peru,1983,1,1,2
Peru,Colombia,1983,1,0,1
Bolivia,Colombia,1983,0,1,1
Chile,Venezuela,1983,5,0,5
Argentina,Ecuador,1983,2,2,4
Brazil,Ecuador,1983,5,0,5
Argentina,Brazil,1983,1,0,1
Ecuador,Brazil,1983,0,1,1
Ecuador,Argentina,1983,2,2,4
Venezuela,Chile,1983,0,0,0
Venezuela,Uruguay,1983,1,2,3
Chile,Uruguay,1983,2,0,2
Uruguay,Venezuela,1983,3,0,3
Uruguay,Chile,1983,2,1,3
Brazil,Argentina,1983,0,0,0
Chile,Colombia,1987,2,1,3
Uruguay,Argentina,1987,1,0,1
Paraguay,Bolivia,1987,0,0,0
Uruguay,Chile,1987,1,0,1
Colombia,Paraguay,1987,3,0,3
Colombia,Argentina,1987,2,1,3
Colombia,Bolivia,1987,2,0,2
Peru,Ecuador,1987,1,1,2
Chile,Brazil,1987,4,0,4
Chile,Venezuela,1987,3,1,4
Brazil,Venezuela,1987,5,0,5
Argentina,Ecuador,1987,3,0,3
Argentina,Peru,1987,1,1,2
Argentina,Uruguay,1989,1,0,1
Chile,Ecuador,1989,2,1,3
Argentina,Bolivia,1989,0,0,0
Chile,Bolivia,1989,5,0,5
Uruguay,Paraguay,1989,3,0,3
Paraguay,Venezuela,1989,3,0,3
Uruguay,Argentina,1989,2,0,2
Brazil,Paraguay,1989,3,0,3
