home,score,away,year
Argentina,1–1,Bolivia,2011
Colombia,1–0,Costa Rica,2011
Argentina,0–0,Colombia,2011
Bolivia,0–2,Costa Rica,2011
Colombia,2–0,Bolivia,2011
Argentina,3–0,Costa Rica,2011
Brazil,0–0,Venezuela,2011
Paraguay,0–0,Ecuador,2011
Brazil,2–2,Paraguay,2011
Venezuela,1–0,Ecuador,2011
Paraguay,3–3,Venezuela,2011
Brazil,4–2,Ecuador,2011
Uruguay,1–1,Peru,2011
Chile,2–1,Mexico,2011
Uruguay,1–1,Chile,2011
Peru,1–0,Mexico,2011
Chile,1–0,Peru,2011
Uruguay,1–0,Mexico,2011
Chile,2–0,Ecuador,2015
Mexico,0–0,Bolivia,2015
Ecuador,2–3,Bolivia,2015
Chile,3–3,Mexico,2015
Mexico,1–2,Ecuador,2015
Chile,5–0,Bolivia,2015
Uruguay,1–0,Jamaica,2015
Argentina,2–2,Paraguay,2015
Paraguay,1–0,Jamaica,2015
Argentina,1–0,Uruguay,2015
Uruguay,1–1,Paraguay,2015
Argentina,1–0,Jamaica,2015
Colombia,0–1,Venezuela,2015
Brazil,2–1,Peru,2015
Brazil,0–1,Colombia,2015
Peru,1–0,Venezuela,2015
Colombia,0–0,Peru,2015
Brazil,2–1,Venezuela,2015
